DrugName	CID
AMATUXIMAB	
AMAUROMINE	10369017
AMBAZONE	1549158
AMBENONIUM	2131
AMBENONIUM CHLORIDE	8288
AMBRISENTAN	6918493
AMBROXOL	2132
AMBUNOL	3081979
AMCINAFIDE	11954283
AMCINONIDE	443958
AMDINOCILLIN	36273
AMDINOCILLIN PIVOXIL	115163
AMDOXOVIR	124088
AME-133V	
AMEDIPLASE	154656
AMELUBANT	
AMENAMEVIR	11397521
AMENTOFLAVONE	5281600
AMESERGIDE	9821951
AMETANTRONE	2134
AMEZINIUM	71927
AMFONELIC ACID	2137
AMG-108	
AMG-191	
AMG-208	24864821
AMG-232	58573469
AMG-319	68947304
AMG-337	44181686
AMG-517	16007367
AMG-548	11167112
AMG-714	
AMG-888	
AMG-900	24856041
AMIBEGRON	3035442
AMIBEGRON HYDROCHLORIDE	121888
AMIDATE	36339
AMIDATE	667484
AMIFAMPRIDINE	5918
AMIFLAMINE	71221
AMIFLAMINE	3043606
AMIFLAMINE	6336525
AMIFOSTINE	2141
AMIKACIN	37768
AMILORIDE	16231
AMILORIDE HYDROCHLORIDE	16230
AMINACRINE	7019
AMINACRINE HYDROCHLORIDE	8643
AMINEPTINE	34870
AMINOBENZTROPINE	2143
AMINOCAPROIC ACID	564
AMINOCARB	16247
AMINODIMETHOXYQUINAZOLINYLPIPERAZINE	
AMINOETHOXYVINYLGLYCINE	6436272
AMINOETHOXYVINYLGLYCINE	5458447
AMINOFENTANYL	44416393
AMINOGLUTETHIMIDE	2145
AMINOHIPPURIC ACID	2148
AMINOMETHYLAMIDE	69020
AMINOPHYLLINE	9433
AMINOPTERIN	169371
AMINOPURVALANOL	6604931
AMINOQUINOL	5708341
AMINOQUINOL	170327
AMINOQUINURIDE	71166
AMINOSALICYLATE POTASSIUM	23690428
AMINOSALICYLATE POTASSIUM	4649
AMINOSALICYLATE SODIUM	2724368
AMINOSALICYLATE SODIUM	16211148
AMINOSALICYLATE SODIUM	4649
AMINOSALICYLATE SODIUM	54690315
AMINOSALICYLATE SODIUM	16051922
AMINOSALICYLIC ACID	4649
AMIODARONE	2157
