DiseaseID	DrugID
EFO_0000319	CHEMBL679
EFO_0000319	CHEMBL1148
EFO_0000319	CHEMBL75880
EFO_0000319	CHEMBL250270
EFO_0000319	CHEMBL1017
EFO_0000319	CHEMBL344159
EFO_0000319	CHEMBL504760
EFO_0000319	CHEMBL211456
EFO_0000319	CHEMBL1648
EFO_0000319	CHEMBL502097
EFO_0000319	CHEMBL1138
EFO_0000319	CHEMBL2364655
EFO_0000319	CHEMBL515606
EFO_0000319	CHEMBL945
EFO_0000319	CHEMBL6
EFO_0000319	CHEMBL249856
EFO_0000319	CHEMBL770
EFO_0000319	CHEMBL1763
EFO_0000319	CHEMBL305187
EFO_0000319	CHEMBL1144
EFO_0000319	CHEMBL6966
EFO_0000319	CHEMBL3039598
EFO_0000319	CHEMBL1311
EFO_0000319	CHEMBL431
EFO_0000319	CHEMBL768
EFO_0000319	CHEMBL434
EFO_0000319	CHEMBL27810
EFO_0000319	CHEMBL2219536
EFO_0000319	CHEMBL1624126
EFO_0000319	CHEMBL1639
EFO_0000319	CHEMBL1237132
EFO_0000319	CHEMBL1889436
EFO_0000319	CHEMBL1215
EFO_0000319	CHEMBL27
EFO_0000319	CHEMBL3545057
EFO_0000319	CHEMBL471
EFO_0000319	CHEMBL1908307
EFO_0000319	CHEMBL2028661
EFO_0000319	CHEMBL1519
EFO_0000319	CHEMBL12856
EFO_0000319	CHEMBL24072
EFO_0000319	CHEMBL506569
EFO_0000319	CHEMBL1491
EFO_0000319	CHEMBL1496
EFO_0000319	CHEMBL267744
EFO_0000319	CHEMBL232201
EFO_0000319	CHEMBL2106794
EFO_0000319	CHEMBL1200692
EFO_0000319	CHEMBL434394
EFO_0000319	CHEMBL1532
EFO_0000319	CHEMBL981
EFO_0000319	CHEMBL1587
EFO_0000319	CHEMBL1614
EFO_0000319	CHEMBL1371200
EFO_0000319	CHEMBL3707352
EFO_0000319	CHEMBL3545313
EFO_0000319	CHEMBL813
EFO_0000319	CHEMBL1393
EFO_0000319	CHEMBL565
EFO_0000319	CHEMBL92870
EFO_0000319	CHEMBL6995
EFO_0000319	CHEMBL61593
EFO_0000319	CHEMBL406
EFO_0000319	CHEMBL926
EFO_0000319	CHEMBL231884
