DrugName	CID
(10S,11S)-10-[(dimethylamino)methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835312
(10S,11S)-10-[[(3-fluorophenyl)methyl-methylamino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638023
(10S,11S)-10-[[(4-fluorophenyl)methyl-methylamino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637922
(10S,11S)-10-[[(4-fluorophenyl)methyl-methylamino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637923
(10S,11S)-10-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637855
(10S,11S)-10-[[3,4-dihydro-2H-1,5-benzodioxepin-6-ylmethyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637793
(10S,11S)-10-[[benzyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638194
(10S,11S)-10-[[cyclopropylmethyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637897
(10S,11S)-10-[[cyclopropylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835352
(10S,11S)-10-[[cyclopropylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637898
(10S,11S)-13-[(2R)-1-hydroxypropan-2-yl]-10-[[(3-methoxyphenyl)methyl-methylamino]methyl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637863
(10S,11S)-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835363
(10S,11S)-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835338
(10S,11S)-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-10-(methylaminomethyl)-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637760
(10S,11S)-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637784
(10S,11S)-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638008
