TTD_ID	CID
D00OTQ	
D00OTT	
D00OUF	24744901
D00OUG	
D00OVC	
D00OVE	
D00OVU	24965990
D00OWE	3035865
D00OWF	5280953
D00OWU	
D00OWZ	721308
D00OXH	5311386
D00OXP	
D00OYC	
D00OYQ	6918487
D00OZA	25208746
D00OZC	
D00OZN	23626453
D00OZS	11822292
D00PAG	73755052
D00PAS	126540
D00PBI	
D00PBS	
D00PBX	49846579
D00PCE	9797313
D00PDG	107930
D00PDQ	
D00PEC	1331
D00PEH	135449332
D00PEJ	16658631
D00PEN	
D00PES	
D00PEU	4847
D00PEV	
D00PFD	
D00PFS	
D00PFT	
D00PFW	445642
D00PGA	
D00PGF	
D00PGP	
D00PHK	
D00PIE	9955116
D00PJE	
D00PJJ	9869229
D00PJK	
D00PJT	46232080
D00PJY	
D00PLH	44428832
D00PLM	44418106
D00PLP	
D00PLV	25199962
D00PLX	
D00PMA	133711
D00PMB	
D00PMF	45263378
D00PMS	448968
D00PNU	
D00POF	21707121
D00POS	
D00PPB	11703439
D00PPV	
D00PQC	6176
D00PQS	
D00PRE	23625979
D00PRI	6093170
D00PRR	10432920
D00PSG	
D00PSJ	69520
D00PSW	3630776
D00PTE	
D00PTZ	
D00PUF	2149
D00PUR	46887555
D00PUT	
D00PVE	
D00PVH	
D00PVO	666034
D00PWQ	3820
D00PWV	11299790
D00PXF	44206698
D00PXO	6605258
D00PXQ	60785
D00PYB	25200740
D00PYD	
D00PYP	9690113
D00PYW	44341256
D00PZE	247304
D00PZH	16133792
D00PZK	
D00PZM	46887822
D00QAQ	
D00QAR	5904
D00QAX	
D00QBV	
D00QCB	130724
D00QCL	9929189
D00QCP	46837647
D00QCV	
D00QCX	
D00QDE	135520118
D00QDJ	
D00QDR	65238
D00QEP	
D00QET	5281040
D00QEZ	
D00QFL	44185378
D00QFV	
D00QFY	23676207
D00QGB	
D00QGF	
D00QGV	
D00QHT	9827472
D00QIA	44408060
D00QIJ	
D00QIK	
D00QIU	5280915
D00QJA	
D00QJL	
D00QKI	9865554
D00QKL	
D00QKS	
D00QLG	
D00QLH	25033947
D00QLM	91557
D00QLR	496015
D00QMQ	44577152
D00QMZ	44314223
D00QNV	
D00QNW	
D00QOF	55191
D00QOG	147118
D00QOH	
D00QOJ	
D00QOL	11673314
D00QPG	5353593
D00QPU	20057076
D00QSV	152234
D00QTA	
D00QTL	
D00QTU	
D00QTX	5311503
D00QUJ	
D00QUN	44563663
D00QUZ	
D00QVP	44411868
D00QVT	9960285
D00QVY	
D00QWK	
D00QWP	
D00QWU	
D00QXB	
D00QXV	177836
D00QYH	25078060
D00QYO	9934622
D00QZA	91827358
D00QZJ	
D00RAK	135398602
D00RAM	
D00RAO	44409589
D00RBV	10445611
D00RCI	16139605
D00RCV	9813643
D00RDE	44246261
D00RDI	
D00RDL	
D00RDO	
D00RDS	797382
D00RDY	97297
D00REB	11193842
D00REK	5712
D00REW	46891047
D00RFY	5281612
D00RFZ	6481236
D00RGD	11128726
D00RGF	
D00RGL	44371672
D00RGO	5113385
D00RGP	332425
D00RGX	
D00RHH	24916963
D00RIB	
D00RIK	
D00RIX	5280443
D00RJA	56603796
D00RJB	71778
D00RJE	71342
D00RJJ	16130966
D00RJT	943
D00RKV	
D00RLE	11522042
D00RLO	259
D00RMC	6918508
D00RMD	181428
D00RNA	44446270
D00RNB	
D00RNS	
D00RNZ	910172
D00ROR	
D00ROV	
D00ROY	
D00RPV	
D00RPW	
D00RQQ	
D00RQW	
D00RRB	
D00RRU	
D00RRV	792486
D00RSK	9832687
D00RST	9927748
D00RTC	
D00RTM	52549
D00RTU	
D00RUE	
D00RUN	10219888
D00RWP	16143658
D00RWQ	18687754
D00RWU	
D00RWW	68792
D00RXR	
D00RXS	137253360
D00RYA	
D00RYU	
D00RZA	
D00RZN	442457
D00SAA	14828129
D00SAB	44434721
D00SAH	
D00SAR	
D00SBD	
D00SBN	4746
D00SBU	
D00SBX	
D00SCI	51001299
D00SDJ	11237664
D00SDP	44627900
D00SDQ	50938551
D00SDR	
D00SEB	5388962
D00SEC	3641059
D00SEE	11379392
D00SFN	55223
D00SFY	
D00SGD	
D00SGZ	9917025
D00SHQ	2448
D00SHS	
D00SHX	44456331
D00SIA	
D00SIC	
D00SIR	9577436
D00SIZ	
D00SJE	5193
D00SJN	
D00SJT	120231
D00SJX	
D00SKM	
D00SKS	
D00SLD	
D00SLE	25093373
D00SLJ	44420656
D00SLR	44568764
D00SLY	11519070
D00SMC	
D00SML	
D00SMU	
D00SNI	
D00SNJ	44426498
D00SNO	438569
D00SNY	
D00SOE	44568937
D00SOM	10398047
D00SOZ	
D00SPK	23665864
D00SQD	
D00SQN	
D00SRE	
D00SRM	44420298
D00SRS	5281430
D00SSW	6868
D00SSZ	
D00STJ	71734
D00STL	644241
D00STZ	
D00SUC	
D00SUK	216466
D00SVK	
D00SVP	44599828
D00SVU	2264
D00SWN	
D00SWQ	10429242
D00SXO	2793709
D00SYV	
D00SZR	
D00TAP	
D00TBD	10461815
D00TBG	44392511
D00TBI	
D00TBJ	
D00TBS	
D00TCL	
D00TCM	
D00TDJ	44430622
D00TED	
D00TEI	54674305
D00TEN	
D00TFA	3392731
D00TFF	
D00TGC	56951318
D00TGR	68654
D00THA	71587102
D00THG	
D00THJ	
D00TIB	
D00TIG	6917964
D00TIO	44331923
D00TJF	11807783
D00TJV	
D00TJX	
D00TKC	
D00TKJ	135423790
D00TKO	22316981
D00TLD	9893746
D00TLM	6433122
D00TLN	2913
D00TLP	24873435
D00TMK	
D00TMQ	
D00TNC	135413526
D00TNN	45253769
D00TNR	5311081
D00TNZ	
D00TOF	193042
D00TPC	
D00TPG	11041813
D00TPI	
D00TPO	44397641
D00TPQ	
D00TPW	
D00TQI	
D00TQN	
D00TQR	86344
D00TRF	44423683
D00TRL	
D00TRV	10178705
D00TRY	448022
D00TRZ	44452580
D00TSX	11672424
D00TSY	16156517
D00TTS	
D00TUB	135471356
D00TUH	11710022
D00TUP	
D00TUR	
D00TVG	
D00TVI	
D00TVL	
D00TVY	44300176
D00TWA	44313272
D00TWC	15942656
D00TWK	185914
D00TWV	73755063
D00TXL	
D00TXZ	
D00TYI	
D00TYP	
D00TYR	
D00TYW	54678949
D00TYX	53325948
D00TZD	2776
D00UAE	
D00UAQ	
D00UBK	9851889
D00UBR	24881675
D00UBX	
D00UCC	9827497
D00UCE	
D00UCP	7824621
D00UCW	159556
D00UCX	44588322
D00UDD	
D00UDJ	
D00UDL	
D00UDP	476861
D00UDX	5288371
D00UEC	
D00UEG	6956374
D00UEQ	123823
D00UET	
D00UFJ	697415
D00UFR	5289496
D00UFZ	
D00UGC	
D00UGX	
D00UGY	
D00UHK	
D00UIK	17937479
D00UIN	11739248
D00UJF	
D00UKA	44272095
D00UKN	
D00ULT	10609180
D00ULY	
D00UMG	44450788
D00UMJ	
D00UNK	
D00UOI	56947030
D00UOQ	
D00UOR	16129703
D00UOZ	
D00UPU	
D00UQF	9893571
D00UQW	
D00URP	10399473
D00URZ	
D00USF	5533
D00USS	
D00USX	6400678
D00UTD	
D00UTF	69453339
D00UTU	135423809
D00UUG	136245517
D00UUL	
D00UUM	60172
D00UVA	11556711
D00UVU	
D00UWL	13996240
D00UWY	42609748
D00UXT	23665874
D00UYB	
D00UYE	4058
D00UYR	
D00UZO	5712057
D00UZR	5330286
D00VAJ	178080
D00VAN	46232847
D00VBP	
D00VBT	59733314
D00VBW	5280382
D00VBX	12701751
D00VCH	
D00VCW	5311006
D00VCZ	
D00VEM	
D00VEZ	73755077
D00VFE	36736
D00VFH	
D00VFM	
D00VGP	
D00VHG	1944
D00VHN	46905530
D00VHS	136036233
D00VHW	11152527
D00VJC	
D00VJY	957
D00VKB	44455842
D00VKK	
D00VKV	62751
D00VLF	14136481
D00VLQ	
D00VMA	
D00VMO	56947043
D00VMX	
D00VMY	
D00VNC	44411858
D00VNH	208953
D00VOE	
D00VOF	
D00VOK	
D00VPT	6604009
D00VPU	
D00VPV	3038517
D00VQI	5311394
D00VQT	
D00VQZ	5222748
D00VRV	10171
D00VSQ	
D00VSX	
D00VUG	
D00VUI	6199
D00VUL	4756
D00VUN	
D00VUO	6539777
D00VUT	44450651
D00VVB	20872819
D00VWN	638011
D00VWR	14872649
D00VXE	3253193
D00VXM	568416
D00VXV	
D00VXZ	
D00VYC	44400370
D00VYD	5071702
D00VZA	5328763
D00VZE	5029871
D00VZF	4990817
D00VZZ	92786
D00WAM	3647
D00WBN	
D00WBS	3035026
D00WBU	25033951
D00WCT	
D00WCX	39042
D00WDA	
D00WDM	
D00WDY	
D00WEL	
D00WEP	
D00WEQ	62065
D00WEV	44412290
D00WFB	10084377
D00WFQ	674641
D00WFU	11381543
D00WHC	
D00WHH	
D00WHL	
D00WHO	114888
D00WJC	
D00WJE	
D00WKK	11710246
D00WKL	
D00WMC	790259
D00WME	9831419
D00WMJ	
D00WMK	71306415
D00WMS	3047299
D00WMV	656733
D00WNA	42519285
D00WOE	11254540
D00WOK	135398643
D00WON	169232
D00WOT	
D00WOX	
D00WPT	
D00WPU	11368969
D00WSM	599289
D00WSN	2996093
D00WUC	
D00WUF	125889
D00WVG	584447
D00WVI	10200069
D00WVW	5282338
D00WWU	
D00WYS	46887131
D00WYV	
D00WZE	
D00WZG	44442168
D00WZH	
D00WZI	2794641
D00WZJ	
D00WZK	52918381
D00XBC	
D00XBH	
D00XBM	44418891
D00XCC	7037588
D00XCL	24856357
D00XCX	219023
D00XDG	11708263
D00XDN	
D00XEM	
D00XEN	9891901
D00XEU	46898058
D00XEX	
D00XFM	
D00XFT	
D00XFY	
D00XGW	73755160
D00XHC	12851057
D00XHD	65958
D00XHH	
D00XIB	
D00XIP	
D00XIX	44564003
D00XJA	711717
D00XJR	10446295
D00XKA	188930
D00XKB	57406537
D00XKE	
D00XKH	10598311
D00XKM	6483718
D00XLE	
D00XLU	44407802
D00XMF	
D00XMO	44126813
D00XMP	14364677
D00XMZ	
D00XNC	
D00XND	
D00XNF	6439154
D00XNW	
D00XNY	5702253
D00XOQ	9885504
D00XOT	45487214
D00XOV	24892831
D00XPA	
D00XPB	44570860
D00XPC	48175
D00XPD	
D00XPZ	
D00XQK	
D00XQO	5283542
D00XQV	44376104
D00XRH	91820725
D00XRI	3081672
D00XRK	
D00XRM	
D00XRN	
D00XSL	
D00XSP	
D00XSQ	
D00XTC	44437872
D00XTS	
D00XUE	712421
D00XUF	49863103
D00XUN	23894
D00XVE	
D00XVL	
D00XVS	10718553
D00XVV	449645
D00XWB	11566989
