DrugID	CID	
CHEMBL2103745	53297473
CHEMBL1703	14219
CHEMBL1431	4091
CHEMBL1770248	44814423
CHEMBL170988	8249
CHEMBL408	5591
CHEMBL1280	62969
CHEMBL2104391	16137271
CHEMBL1201629	
CHEMBL429910	9887712
CHEMBL376359	11450633
CHEMBL2	4893
CHEMBL2107830	11949646
CHEMBL2103758	70691388
CHEMBL1168	5362129
CHEMBL838	5362124
CHEMBL1558	68546
CHEMBL400599	2318
CHEMBL2108446	
CHEMBL2048484	24812758
CHEMBL385517	11243969
CHEMBL6966	2520
CHEMBL4594262	44481893
CHEMBL1201613	
CHEMBL1481	3476
CHEMBL2108336	
CHEMBL1201497	
CHEMBL1200574	5234
CHEMBL436	53359
CHEMBL24	2249
CHEMBL1201496	
CHEMBL782	5505
CHEMBL843	5281055
CHEMBL4524066	155543961
CHEMBL121	77999
CHEMBL2108724	
CHEMBL783	5311309
CHEMBL1144	54687
CHEMBL1201538	
CHEMBL1694	5362123
CHEMBL1560	44093
CHEMBL1513	3749
CHEMBL4298047	
CHEMBL601719	11626560
CHEMBL4297778	
CHEMBL3545185	71481097
CHEMBL3301582	
CHEMBL1263	5152
CHEMBL605846	11504295
CHEMBL1621597	657309
CHEMBL2105743	11711522
CHEMBL1198857	10184665
CHEMBL2134724	16738693
CHEMBL1194325	11434515
CHEMBL1256786	3410
CHEMBL1187833	11519070
CHEMBL1473	444036
CHEMBL3989798	9919001
CHEMBL1082607	56801
CHEMBL1363	3083544
CHEMBL1084172	44482554
CHEMBL1900528	5487427
CHEMBL1095777	6918554
CHEMBL551466	11519741
CHEMBL1789842	9827599
CHEMBL523299	11519069
CHEMBL1951071	53241147
CHEMBL3545181	11431811
CHEMBL1370	5281004
CHEMBL766	6435415
CHEMBL1200523	23675322
CHEMBL1201057	23663403
CHEMBL1435	33255
CHEMBL1200758	23663979
CHEMBL148	104838
CHEMBL43708	5282372
CHEMBL387675	16134395
CHEMBL174	6249
CHEMBL262777	14969
CHEMBL1200628	6420023
CHEMBL1983350	5311454
CHEMBL1094	3331
CHEMBL856	4909
CHEMBL108	2554
CHEMBL696	3291
